Date,Open,High,Low,Close,Volume
2019-10-21,1248.7,1253.51,1239.99,1244.28,1030085
2019-10-18,1254.69,1258.11,1240.14,1244.41,1582320
2019-10-17,1251.4,1263.75,1249.87,1252.8,1063981
2019-10-16,1241.81,1254.19,1238.53,1243.0,1151028
2019-10-15,1221.5,1247.13,1220.92,1242.24,1527216
2019-10-14,1213.89,1225.88,1211.88,1217.77,683926
2019-10-11,1224.03,1228.75,1213.64,1215.71,1126452
2019-10-10,1198.6,1215.62,1197.86,1209.47,668244
2019-10-09,1201.33,1208.46,1198.12,1202.4,813216
2019-10-08,1198.77,1206.87,1189.48,1190.13,1032426
2019-10-07,1207.51,1218.91,1204.36,1208.25,879020
2019-10-04,1194.29,1212.46,1190.97,1210.96,1228686
2019-10-03,1183.34,1191.0,1163.14,1189.43,1469413
2019-10-02,1196.5,1198.76,1172.63,1177.92,1674774
2019-10-01,1222.49,1232.86,1205.55,1206.0,1282735
2019-09-30,1220.6,1227.41,1213.42,1221.14,1294609
2019-09-27,1242.83,1244.99,1215.2,1225.95,1722481
2019-09-26,1242.14,1244.67,1231.82,1242.29,1171577
2019-09-25,1216.01,1248.02,1209.2,1245.94,1355162
2019-09-24,1240.0,1247.11,1210.64,1218.33,1835712
2019-09-23,1226.57,1239.68,1223.78,1234.69,1197069
2019-09-20,1233.64,1242.8,1223.58,1229.84,1937743
2019-09-19,1232.32,1244.34,1232.31,1238.75,847002
2019-09-18,1230.24,1236.24,1216.47,1232.65,892788
2019-09-17,1231.63,1235.0,1223.35,1229.88,1047201
2019-09-16,1230.44,1239.02,1225.19,1231.63,1410880
2019-09-13,1232.11,1241.05,1227.08,1240.03,1183762
2019-09-12,1223.47,1242.42,1222.56,1234.97,1582230
2019-09-11,1203.89,1222.47,1202.28,1220.0,1176066
2019-09-10,1196.09,1210.0,1196.01,1205.7,1396077
2019-09-09,1205.66,1220.55,1193.17,1205.27,1592958
2019-09-06,1209.14,1212.95,1203.26,1206.32,948580
2019-09-05,1193.66,1214.0,1192.69,1212.19,1320656
2019-09-04,1179.45,1184.88,1171.53,1182.27,1065666
2019-09-03,1181.85,1189.08,1163.72,1169.55,1296116
2019-08-30,1200.35,1200.35,1185.72,1190.53,903375
2019-08-29,1186.42,1199.19,1185.28,1194.24,982098
2019-08-28,1164.87,1178.5,1160.25,1173.75,840829
2019-08-27,1183.0,1185.0,1164.56,1170.82,1173489
2019-08-26,1159.45,1171.86,1154.85,1171.18,1058926
2019-08-23,1185.17,1195.67,1150.0,1153.58,1813141
2019-08-22,1193.8,1198.78,1178.91,1191.52,867915
2019-08-21,1195.82,1200.56,1187.92,1191.58,708272
2019-08-20,1195.35,1198.0,1183.05,1183.53,1010566
2019-08-19,1191.83,1209.39,1190.4,1200.44,1222854
2019-08-16,1180.79,1183.84,1173.0,1179.21,1265187
2019-08-15,1164.3,1176.42,1163.0,1169.32,1430715
2019-08-14,1176.07,1182.79,1161.07,1164.25,1771501
2019-08-13,1174.35,1205.43,1173.0,1196.73,1430240
2019-08-12,1180.0,1185.61,1168.72,1174.5,1103243
2019-08-09,1200.0,1204.46,1184.89,1188.9,1020945
2019-08-08,1186.43,1206.28,1174.0,1206.19,1505848
2019-08-07,1157.8,1179.87,1150.84,1175.91,1534347
2019-08-06,1165.52,1181.4,1161.53,1171.08,1800707
2019-08-05,1172.97,1176.88,1142.75,1154.75,2391972
2019-08-02,1203.0,1209.5,1190.0,1196.32,1745450
2019-08-01,1217.63,1236.3,1207.0,1211.78,1771271
2019-07-31,1224.87,1234.91,1208.18,1218.2,1997999
2019-07-30,1227.0,1236.91,1225.32,1228.0,1430775
2019-07-29,1242.5,1249.0,1230.2,1241.84,2069127
2019-07-26,1228.0,1268.39,1228.0,1245.22,6060795
2019-07-25,1138.95,1143.59,1123.71,1135.94,2738139
2019-07-24,1132.62,1145.46,1128.51,1139.73,1359956
2019-07-23,1143.45,1148.86,1132.85,1148.05,1032438
2019-07-22,1135.47,1140.02,1125.21,1139.21,1446757
2019-07-19,1149.32,1151.58,1131.25,1131.55,1159153
2019-07-18,1142.0,1148.17,1132.86,1147.24,1273769
2019-07-17,1150.92,1158.44,1146.62,1146.74,976894
2019-07-16,1146.73,1158.58,1146.73,1153.46,1267641
2019-07-15,1145.34,1150.68,1140.0,1150.51,1058431
2019-07-12,1142.93,1147.5,1138.56,1145.34,1093933
2019-07-11,1146.16,1153.24,1139.53,1144.08,1300529
2019-07-10,1132.32,1142.34,1130.66,1140.91,1535546
2019-07-09,1110.32,1127.86,1107.15,1124.29,1473622
2019-07-08,1125.87,1127.21,1111.76,1116.79,1494371
2019-07-05,1119.37,1134.65,1117.5,1132.67,1489678
2019-07-03,1118.5,1127.99,1114.85,1122.99,1007718
2019-07-02,1104.83,1112.89,1099.67,1112.6,1031919
2019-07-01,1101.04,1108.59,1095.33,1100.0,1464449
2019-06-28,1077.23,1082.8,1073.8,1082.8,1683568
2019-06-27,1086.75,1088.47,1075.85,1076.63,1203914
2019-06-26,1091.0,1095.12,1073.69,1080.32,1734873
2019-06-25,1115.08,1115.7,1084.6,1087.58,1582217
2019-06-24,1120.0,1123.57,1113.31,1116.7,1211893
2019-06-21,1109.86,1126.57,1109.72,1125.37,2538872
2019-06-20,1121.7,1122.72,1107.0,1113.2,1200908
2019-06-19,1107.24,1109.43,1096.03,1104.51,1336015
2019-06-18,1111.5,1118.78,1100.79,1105.24,1726312
2019-06-17,1089.1,1101.28,1088.0,1093.89,988491
2019-06-14,1089.74,1094.76,1081.48,1086.3,1229304
2019-06-13,1084.71,1096.59,1082.57,1091.01,1040661
2019-06-12,1079.95,1082.52,1069.6,1079.1,1183650
2019-06-11,1096.99,1104.01,1079.57,1081.04,1675817
2019-06-10,1077.0,1094.84,1075.28,1082.76,1425464
2019-06-07,1054.28,1073.43,1051.15,1068.37,2191357
2019-06-06,1046.21,1050.0,1035.51,1047.76,1451026
2019-06-05,1055.0,1056.81,1033.0,1044.64,2349436
2019-06-04,1044.49,1058.44,1036.03,1054.49,3025564
2019-06-03,1066.93,1067.0,1027.03,1038.74,4844480
2019-05-31,1105.64,1113.4,1103.35,1106.5,1579481
2019-05-30,1120.15,1126.8,1115.9,1121.41,904419
2019-05-29,1132.7,1135.0,1111.95,1119.94,1811510
2019-05-28,1141.48,1156.49,1138.67,1139.56,1047554
2019-05-24,1152.0,1154.36,1136.71,1138.61,927651
2019-05-23,1146.07,1150.05,1133.16,1145.34,1260657
2019-05-22,1151.25,1163.78,1151.0,1155.85,941279
2019-05-21,1154.48,1158.0,1143.31,1154.44,1028248
2019-05-20,1153.0,1153.0,1138.14,1144.66,1530126
2019-05-17,1175.83,1186.29,1166.42,1168.78,1268050
2019-05-16,1171.84,1194.16,1168.45,1184.5,1765388
2019-05-15,1122.55,1178.3,1121.4,1170.8,2965117
2019-05-14,1142.32,1144.87,1123.53,1124.86,2019550
2019-05-13,1145.24,1151.97,1125.5,1136.59,2281686
2019-05-10,1168.84,1176.28,1146.37,1167.64,1582460
2019-05-09,1162.6,1174.07,1154.64,1167.97,1477752
2019-05-08,1177.29,1184.27,1167.63,1170.78,1276022
2019-05-07,1185.81,1194.77,1165.0,1178.86,1830238
2019-05-06,1172.0,1195.43,1171.16,1193.46,1588684
2019-05-03,1177.41,1191.4,1173.55,1189.55,2079376
2019-05-02,1172.6,1179.38,1158.33,1166.51,2254890
2019-05-01,1197.5,1199.25,1171.68,1173.32,3717018
2019-04-30,1190.63,1200.98,1183.0,1198.96,6658855
2019-04-29,1280.51,1296.98,1271.71,1296.2,3618362
2019-04-26,1273.38,1278.91,1265.0,1277.42,1361419
2019-04-25,1270.3,1272.8,1258.0,1267.34,1567161
2019-04-24,1270.59,1274.0,1259.81,1260.05,1169797
2019-04-23,1256.64,1274.43,1251.98,1270.59,1593449
2019-04-22,1236.67,1254.34,1233.37,1253.76,954419
2019-04-18,1245.0,1245.94,1239.41,1241.47,1237788
2019-04-17,1237.0,1245.1,1232.9,1240.14,1518286
2019-04-16,1230.0,1235.98,1225.04,1231.91,1131099
